groupid,p1011,p1112,p12,p121,p23,p34,p45,p56,p89,p910
b15-fri,null,null,null,null,null,null,null,null,null,null
b15-thu,null,null,null,null,null,null,null,null,MA102,MA102
b15-wed,null,null,MA102,null,null,null,null,null,null,null
b15-tue,null,null,null,MA102,null,null,null,null,null,null
b15-mon,null,null,null,null,null,null,null,null,null,null
b14-fri,null,null,null,null,null,null,null,null,null,null
b14-thu,null,null,null,null,null,null,null,null,null,null
b14-wed,null,null,MA102,null,null,null,null,null,null,null
b14-tue,null,null,null,null,null,MA102,null,null,null,null
b14-mon,null,null,null,null,null,null,null,null,MA102,MA102
b13-fri,null,null,null,null,MA102,null,null,null,null,null
b13-thu,null,null,null,null,null,null,null,null,MA102,MA102
b13-wed,null,null,null,null,null,null,null,null,null,null
b13-tue,null,null,null,null,null,null,MA102,null,null,null
b13-mon,null,null,null,null,null,null,null,null,null,null
b12-fri,null,null,null,null,null,null,null,null,null,null
b12-thu,null,null,null,null,MA102,null,null,null,null,null
b12-wed,null,null,null,null,null,null,null,null,null,null
b12-tue,null,null,null,null,null,null,null,null,MA102,MA102
b12-mon,null,null,null,null,null,null,MA102,null,null,null
b11-fri,null,null,null,MA102,null,null,null,null,null,null
b11-thu,null,null,null,null,null,null,null,null,null,null
b11-wed,null,null,null,null,null,null,null,null,MA102,MA102
b11-tue,null,null,null,null,null,null,null,null,null,null
b11-mon,null,null,null,MA102,null,null,null,null,null,null
b10-fri,null,null,null,null,null,MA102,null,null,null,null
b10-thu,null,null,null,null,null,null,null,null,null,null
b10-wed,null,null,null,null,null,null,null,null,MA102,MA102
b10-tue,null,MA102,null,null,null,null,null,null,null,null
b10-mon,null,null,null,null,null,null,null,null,null,null
b9-fri,null,null,null,null,null,null,null,null,MA102,MA102
b9-thu,null,MA102,null,null,null,null,null,null,null,null
b9-wed,null,null,null,null,null,null,MA102,null,null,null
b9-tue,null,null,null,null,null,null,null,null,null,null
b9-mon,null,null,null,null,null,null,null,null,null,null
b8-fri,null,null,null,null,null,null,null,null,MA102,MA102
b8-thu,null,null,null,null,null,null,null,null,null,null
b8-wed,null,null,null,null,null,null,MA102,null,null,null
b8-tue,MA102,null,null,null,null,null,null,null,null,null
b8-mon,null,null,null,null,null,null,null,null,null,null
b7-fri,null,null,null,null,null,null,null,MA102,null,null
b7-thu,null,null,null,null,null,null,null,null,null,null
b7-wed,null,null,null,null,null,null,null,null,MA102,MA102
b7-tue,null,null,null,null,null,null,null,null,null,null
b7-mon,null,null,null,null,MA102,null,null,null,null,null
b6-fri,null,null,null,null,null,MA102,null,null,null,null
b6-thu,null,null,null,null,null,null,null,null,null,null
b6-wed,null,null,null,MA102,null,null,null,null,null,null
