sectionid,p1011,p1112,p12,p121,p23,p34,p45,p56,p89,p910
f2-fri,null,null,null,null,null,null,null,null,null,null
f2-thu,null,null,null,null,null,null,null,null,null,null
f2-wed,null,null,null,null,null,null,null,null,null,null
f2-tue,null,null,null,null,null,null,null,null,null,null
f2-mon,null,null,null,null,null,null,null,null,null,null
f1-fri,null,null,null,null,null,null,null,null,null,null
f1-thu,null,null,null,null,null,null,null,null,null,null
f1-wed,null,null,null,null,null,null,null,null,null,null
f1-tue,null,null,null,null,null,null,null,null,null,null
f1-mon,null,null,null,null,null,null,null,null,null,null
t2-fri,null,null,null,null,null,null,MC320(Slot-D),null,null,MC320(Slot-B)
t2-thu,null,null,null,null,null,null,MC310(Slot-C),null,MC310(Slot-A),MC310(Slot-A)
t2-wed,null,null,null,null,null,null,MC310(Slot-C),MC320(Slot-D),null,MC320(Slot-B)
t2-tue,null,null,null,null,null,null,MC320(Slot-D),MC320(Slot-D),MC320(Slot-B),MC320(Slot-B)
t2-mon,null,null,null,null,null,null,MC310(Slot-C),MC310(Slot-C),MC310(Slot-A),MC310(Slot-A)
t1-fri,null,null,null,null,null,null,MC320(Slot-D),null,null,MC320(Slot-B)
t1-thu,null,null,null,null,null,null,MC310(Slot-C),null,MC310(Slot-A),MC310(Slot-A)
t1-wed,null,null,null,null,null,null,MC310(Slot-C),MC320(Slot-D),null,MC320(Slot-B)
t1-tue,null,null,null,null,null,null,MC320(Slot-D),MC320(Slot-D),MC320(Slot-B),MC320(Slot-B)
t1-mon,null,null,null,null,null,null,MC310(Slot-C),MC310(Slot-C),MC310(Slot-A),MC310(Slot-A)
s2-fri,null,null,null,null,null,null,null,null,null,null
s2-thu,null,null,null,null,null,null,null,null,null,null
s2-wed,null,null,null,null,null,null,null,null,null,null
s2-tue,null,null,null,null,null,null,null,null,null,null
s2-mon,null,null,null,null,null,null,null,null,null,null
s1-fri,null,null,null,null,null,null,null,null,null,null
s1-thu,null,null,null,null,null,null,null,null,null,null
s1-wed,null,null,null,null,null,null,null,null,null,null
s1-tue,null,null,null,null,null,null,null,null,null,null
s1-mon,null,null,null,null,null,null,null,null,null,null
